tensor(0.1559, grad_fn=<MeanBackward0>)
tensor(0.1662, grad_fn=<MeanBackward0>)
tensor(0.2042, grad_fn=<MeanBackward0>)
tensor(0.3441, grad_fn=<MeanBackward0>)
tensor(0.1987, grad_fn=<MeanBackward0>)
tensor(0.2783, grad_fn=<MeanBackward0>)
tensor(0.3257, grad_fn=<MeanBackward0>)
tensor(0.2840, grad_fn=<MeanBackward0>)
tensor(0.0446, grad_fn=<MeanBackward0>)
tensor(0.1540, grad_fn=<MeanBackward0>)
tensor(0.1633, grad_fn=<MeanBackward0>)
tensor(0.3163, grad_fn=<MeanBackward0>)
tensor(0.1621, grad_fn=<MeanBackward0>)
tensor(0.3254, grad_fn=<MeanBackward0>)
tensor(0.3219, grad_fn=<MeanBackward0>)
tensor(0.0096, grad_fn=<MeanBackward0>)
tensor(0.2288, grad_fn=<MeanBackward0>)
tensor(0.1160, grad_fn=<MeanBackward0>)
tensor(0.0579, grad_fn=<MeanBackward0>)
tensor(0.1941, grad_fn=<MeanBackward0>)
tensor(0., grad_fn=<MeanBackward0>)
tensor(0., grad_fn=<MeanBackward0>)
tensor(0.0799, grad_fn=<MeanBackward0>)
tensor(0.2436, grad_fn=<MeanBackward0>)
tensor(0.1763, grad_fn=<MeanBackward0>)
tensor(0.1372, grad_fn=<MeanBackward0>)
tensor(0., grad_fn=<MeanBackward0>)
tensor(0.1513, grad_fn=<MeanBackward0>)
tensor(0.3522, grad_fn=<MeanBackward0>)
tensor(0.4344, grad_fn=<MeanBackward0>)
tensor(0.2391, grad_fn=<MeanBackward0>)
tensor(0.0642, grad_fn=<MeanBackward0>)
tensor(0.2453, grad_fn=<MeanBackward0>)
tensor(0.1065, grad_fn=<MeanBackward0>)
tensor(0.0466, grad_fn=<MeanBackward0>)
tensor(0.2911, grad_fn=<MeanBackward0>)
tensor(0.0635, grad_fn=<MeanBackward0>)
tensor(0.3028, grad_fn=<MeanBackward0>)
tensor(0.2368, grad_fn=<MeanBackward0>)
tensor(0.0917, grad_fn=<MeanBackward0>)
tensor(0.1352, grad_fn=<MeanBackward0>)
tensor(0.2218, grad_fn=<MeanBackward0>)
tensor(0., grad_fn=<MeanBackward0>)
tensor(0., grad_fn=<MeanBackward0>)
tensor(0.1377, grad_fn=<MeanBackward0>)
tensor(0.3195, grad_fn=<MeanBackward0>)
tensor(0.3544, grad_fn=<MeanBackward0>)
tensor(0.0302, grad_fn=<MeanBackward0>)
tensor(0.3551, grad_fn=<MeanBackward0>)
tensor(0.3473, grad_fn=<MeanBackward0>)
tensor(0.4400, grad_fn=<MeanBackward0>)
tensor(0.0469, grad_fn=<MeanBackward0>)
tensor(0.0165, grad_fn=<MeanBackward0>)
tensor(0.1634, grad_fn=<MeanBackward0>)
tensor(0.0680, grad_fn=<MeanBackward0>)
tensor(0.0931, grad_fn=<MeanBackward0>)
tensor(0., grad_fn=<MeanBackward0>)
tensor(0.1126, grad_fn=<MeanBackward0>)
tensor(0., grad_fn=<MeanBackward0>)
tensor(0.3642, grad_fn=<MeanBackward0>)
tensor(0.3407, grad_fn=<MeanBackward0>)
tensor(0.1150, grad_fn=<MeanBackward0>)
tensor(0.4460, grad_fn=<MeanBackward0>)
tensor(0.0288, grad_fn=<MeanBackward0>)
tensor(0.0558, grad_fn=<MeanBackward0>)
tensor(0.1227, grad_fn=<MeanBackward0>)
tensor(0.0668, grad_fn=<MeanBackward0>)
tensor(0.6882, grad_fn=<MeanBackward0>)
tensor(0.0081, grad_fn=<MeanBackward0>)
tensor(0.0059, grad_fn=<MeanBackward0>)
tensor(0.1859, grad_fn=<MeanBackward0>)
tensor(0.0639, grad_fn=<MeanBackward0>)
tensor(0.1946, grad_fn=<MeanBackward0>)
tensor(0.3198, grad_fn=<MeanBackward0>)
tensor(0., grad_fn=<MeanBackward0>)
tensor(0.0918, grad_fn=<MeanBackward0>)
tensor(0.3457, grad_fn=<MeanBackward0>)
tensor(0.4742, grad_fn=<MeanBackward0>)
tensor(0.3589, grad_fn=<MeanBackward0>)
tensor(0.0604, grad_fn=<MeanBackward0>)
tensor(0.2303, grad_fn=<MeanBackward0>)
tensor(0.0644, grad_fn=<MeanBackward0>)
tensor(0.0707, grad_fn=<MeanBackward0>)
tensor(0.2589, grad_fn=<MeanBackward0>)
tensor(0.1320, grad_fn=<MeanBackward0>)
tensor(0.0040, grad_fn=<MeanBackward0>)
tensor(0.0428, grad_fn=<MeanBackward0>)
tensor(0.3535, grad_fn=<MeanBackward0>)
tensor(0.1515, grad_fn=<MeanBackward0>)
tensor(0.0633, grad_fn=<MeanBackward0>)
tensor(0.0035, grad_fn=<MeanBackward0>)
tensor(0.1958, grad_fn=<MeanBackward0>)
tensor(0.0661, grad_fn=<MeanBackward0>)
tensor(0.0629, grad_fn=<MeanBackward0>)
tensor(0.0897, grad_fn=<MeanBackward0>)
tensor(0.2345, grad_fn=<MeanBackward0>)
tensor(0.0962, grad_fn=<MeanBackward0>)
tensor(0.3363, grad_fn=<MeanBackward0>)
tensor(0., grad_fn=<MeanBackward0>)
tensor(0.5404, grad_fn=<MeanBackward0>)
tensor(0.2437, grad_fn=<MeanBackward0>)
tensor(0., grad_fn=<MeanBackward0>)
tensor(0.1335, grad_fn=<MeanBackward0>)
tensor(0.4106, grad_fn=<MeanBackward0>)
tensor(0.1428, grad_fn=<MeanBackward0>)
tensor(0.1568, grad_fn=<MeanBackward0>)
tensor(0.1191, grad_fn=<MeanBackward0>)
tensor(0.0855, grad_fn=<MeanBackward0>)
tensor(0.2892, grad_fn=<MeanBackward0>)
tensor(0.0930, grad_fn=<MeanBackward0>)
tensor(0.0850, grad_fn=<MeanBackward0>)
tensor(0.1326, grad_fn=<MeanBackward0>)
tensor(0., grad_fn=<MeanBackward0>)
tensor(0.0565, grad_fn=<MeanBackward0>)
tensor(0.0014, grad_fn=<MeanBackward0>)
tensor(0.0315, grad_fn=<MeanBackward0>)
tensor(0.2977, grad_fn=<MeanBackward0>)
tensor(0.1147, grad_fn=<MeanBackward0>)
tensor(0.0043, grad_fn=<MeanBackward0>)
tensor(0.1424, grad_fn=<MeanBackward0>)
tensor(0.2196, grad_fn=<MeanBackward0>)
tensor(0., grad_fn=<MeanBackward0>)
tensor(0.0006, grad_fn=<MeanBackward0>)
tensor(0., grad_fn=<MeanBackward0>)
tensor(0.4726, grad_fn=<MeanBackward0>)
tensor(0.1493, grad_fn=<MeanBackward0>)
tensor(0.1027, grad_fn=<MeanBackward0>)
tensor(0.0394, grad_fn=<MeanBackward0>)
tensor(0.2012, grad_fn=<MeanBackward0>)
